"Nummer","Bezeich","GatterDefine","CSharpTyp","LenMax","NachkDef","Typ","Match","Hilfe"
"6321","BLZ (Sortenwechsel)","ID_KASSZBEL_SORWBLZ","string","20","0","10","sorwblz",""
"6322","Bankname (Sortenwechsel)","ID_KASSZBEL_SORWBANK","string","20","0","10","sorwbank",""
"6323","Kontonummer (Sortenwechsel)","ID_KASSZBEL_SORWKONTO","string","20","0","10","sorwkonto",""
"6324","Bemerkung (Sortenwechsel)","ID_KASSZBEL_SORWBEM","string","40","0","10","sorwbem",""
"6325","Kundenname (Sortenwechsel)","ID_KASSZBEL_SORWKUNDE","string","40","0","10","sorwkunde",""
"6327","Währung gegeben (Sortenwechsel)","ID_KASSZBEL_SORWWAEHRUNGGEGEBEN","string","20","0","10","sorwwaehrunggegeben",""
"6328","Betrag gegeben (Sortenwechsel)","ID_KASSZBEL_SORWBETRAGGEGEBEN","double","20","2","11","sorwbetraggegeben",""
"6329","Zahlart gegeben (Sortenwechsel)","ID_KASSZBEL_SORWZAHLARTGEGEBEN","string","40","0","10","sorwzahlartgegeben",""
"6330","Währung zurück (Sortenwechsel)","ID_KASSZBEL_SORWWAEHRUNGZURUECK","string","20","0","10","sorwwaehrungzurueck",""
"6331","Betrag zurück (Sortenwechsel)","ID_KASSZBEL_SORWBETRAGZURUECK","double","20","2","11","sorwbetragzurueck",""
"6332","Zahlart zurück (Sortenwechsel)","ID_KASSZBEL_SORWZAHLARTZURUECK","string","40","0","10","sorwzahlartzurueck",""
"6333","IBAN (Sortenwechsel)","ID_KASSZBEL_SORWIBAN","string","34","0","10","sorwiban",""
"6334","BIC (Sortenwechel)","ID_KASSZBEL_SORWBIC","string","11","0","10","sorwbic",""
"6340","Buchungstext (Zahlungsmeldung)","ID_KASSZBEL_ZAMETEXT","string","40","0","10","zametext",""
"6341","Währung (Zahlungsmeldung)","ID_KASSZBEL_ZAMEWAEHRUNG","string","20","0","10","zamewaehrung",""
"6342","Einzahlungsbetrag (Zahlungsmeldung)","ID_KASSZBEL_ZAMEBETRAG","double","20","2","11","zamebetrag",""
"6350","Zahlart neu (Zami-Umwandlung)","ID_KASSZBEL_ZAMIUMZAHLARTNEU","string","40","0","10","zamiumzahlartneu",""
"6351","Zami-Nummer neu (Zami-Umwandlung)","ID_KASSZBEL_ZAMIUMZAMINRNEU","string","40","0","10","zamiumzaminrneu",""
"6352","BLZ neu (Zami-Umwandlung)","ID_KASSZBEL_ZAMIUMBLZNEU","string","20","0","10","zamiumblzneu",""
"6353","Kontonummer neu (Zami-Umwandlung)","ID_KASSZBEL_ZAMIUMKONTONUMMERNEU","string","20","0","10","zamiumkontonummerneu",""
"6354","Zahlbetrag (Zami-Umwandlung)","ID_KASSZEBL_ZAMIUMZAHLBETRAG","double","20","2","11","zamiumzahlbetrag",""
"6355","Währung (Zami-Umwandlung)","ID_KASSZBEL_ZAMIUMZAHLWAEHRUNG","string","20","0","10","zamiumzahlwaehrung",""
"6356","Zahlart (Zami-Umwandlung)","ID_KASSZBEL_ZAMIUMZAHLART","string","40","0","10","zamiumzahlart",""
"6357","Zami-Nummer (Zami-Umwandlung)","ID_KASSZBEL_ZAMIUMZAMINR","string","40","0","10","zamiumzaminr",""
"6358","BLZ (Zami-Umwandlung)","ID_KASSZBEL_ZAMIUMBLZ","string","20","0","10","zamiumblz",""
"6359","Kontonummer (Zami-Umwandlung)","ID_KASSZBEL_ZAMIUMKONTONUMMER","string","20","0","10","zamiumkontonummer",""
"6360","IBAN (Zami-Umwandlung)","ID_KASSZBELZAMIUMIBAN","string","34","0","10","zamiumiban",""
"6361","BIC (Zami-Umwandlung)","ID_KASSZBEL_ZAMIUMBIC","string","11","0","10","zamiumbic",""
"6362","IBAN neu (Zami-Umwandlung)","ID_KASSZBEL_ZAMIUMIBANNEU","string","34","0","10","zamiumibanneu",""
"6363","BIC neu (Zami-Umbuchung)","ID_KASSZBEL_ZAMIUMBICNEU","string","11","0","10","zamiumbicneu",""
"6370","Kunde (Scheckdruck)","ID_KASSZBEL_SCHECKKUNDE","string","40","0","10","scheckkunde",""
"6380","Zahlungsart","ID_KASSZBEL_ZAHLUNGSART","string","40","0","10","zahlungsart",""
"6381","Währung","ID_KASSZBEL_ZAHLWAEHRUNG","string","20","0","10","zahlwaehrung",""
